Time,Location,Notes,Study Materials
12/18/22,UBC,Good Good Work ,Java Object Oriented Programming
12/21/22,Vancouver City Center,Eric Good With Java,Java coding first try out
12/23/22,Canada Place,N/A,"Java Coding try out, Java reunderstanding object oriented programming, overall structure, & method calling,"
12/29/22,Gastown,Physics is Amazing,Relativity Study
12/31/22,Vancouver,BOA CSV Allowed,"Christmas Break Spending Checking and Documenting, BOA 2022 Fall Quarter Spending Checking and Analyzing"
1/1/23,Vancouver ,N/A,"Intro to stat reading, New Year Resolution, Spending Analysis, Academic Planning"
1/2/23,Vancouver West,N/A,"Nutrition Study, 2022 Look Back, Academic Planning"
1/3/23,Vancouver West,City Coffee shop study nice,"2022 Metacognition Program, Courses selction, Resolution Project"
1/4/23,Air Canada Air Plain/MD,N/A,"Diet Nutrition Plan, Nutrient Plan Adjusted"
1/5/23,Marshall Dorm,N/A,"Nutrient Plan, Cooking plan, Housing, bild 1 journal 1"
1/6/23,Student Center Field,Student Center Field really good for reading in sunny days,Relativity  Reading
1/7/23,UTC,N/A,"The End of Craving reading, bild 1 survey, bild 1 journal 2"
1/8/23,Biomed Campus,Really Pretty,The End of Craving reading & some good thoughts
1/10/23,OVT,N/A,"DSC 20 Note, BILD 22 Note, Scheduling and Calender for Math 20C/DSC 20/BILD 22/BILD 1, DSC 20 Lab 00 (50m), DSC 20 Lab 01 (210m), "
1/11/23,OVT,N/A,"Math 20C Note Lecture 1, Math 20C textbook purchase, DSC 20 lab01 check"
1/12/23,OVT,N/A,"Math 20C Note  Lecture 2, DSC 20 Note Lecture 2, BILD 22 Note Lecture 2, Math 20C hw01, DSC 20 HW01 (2h)"
1/13/23,OVT,zybook is a pretty good revision platform/ maximize daytime effort,"DSC20 zybooks c1 (50m), DSC20 zybooks c2 (33m), DSC 20 hw01 q4 (43m), DSC 20 hw01 q5 (11m), DSC 20 hw01 q6 (38m), DSC 20 Note, Math 20C Note, Zybooks Q4.1, Q4.2 (45m), Q4.4 (20m), Q4.6, Q4.7, Q4.8 (110m) "
1/14/23,OVT/UTC,Doctest Actually Works,"Zylab 5 assignment (60m), BILD 1 Note, BILD 1 Le 3, and Chem Review (60m), BILD 1 Biologist's Journal 3 (30m), DSC20 HW Q7, Q8, Q9, Q10 (60m), Coding Style Check (30m), DOC 2 Lecture 3 (60m), new text editor sublime get, photography learning (120m)"
1/15/23,UTC,DOC is actually pretty fun,"DOC 2 portfoli-1 p1, DOC 2 portfolio-1 p2, DOC 2 portfolio 1 Mindmap, Math 20C HW01 (60m), photography learning & nutrition learning (80m)"
1/16/23,OVT,communication is the key,"BILD 1 Journal 4 (Protein), DSC 20 HW01 Code Style Fix, Philosophical ideas & discussions about conflicts (2h), Photography Lesson (Aparture and Shutter Speed) - (86m), ISO (20m)"
1/17/23,OVT/Muir/Expresso,N/A,"Photograhy Lighting (40m), Photography Lenses & Order check (60m), DSC 20 Zybook reading 5.1 & 5.2, Cogs 87 Note re-analysis (30m), zybook 5.6 (20m), Zybook 8.2, 8.6, 8.13 (40m), Zybook 8.14 (20m), DSC 20 Lab02 q1 & q2 (60m), DSC 20 Lab02 q3 & q4 (24m), DSC 20 Lab02 q5 large question (42m), DSC 20 Lab02 q6 (60m)"
1/18/23,OVT/RC,N/A,"Photography small tip & order placing (30m), DSC 20 Note (10m), DSC Lab02 Q5.6 & Q6 - problem solved (20m), Math 20C Note (20m), DOC 2 Mini portfolio 1 (60m), BILD 22 note (30m), "
1/19/23,OVT/RC,N/A,"Nutrition  study (85m), Math 20C HW02 (70m), Nutrition update (20m), Math 20C HW02 notes (20m), DOC 2 Portfolio 1 Finish & Fix (60m), Zybook readings (48m), meaingful discussion (240m)"
1/20/23,OVT,N/A,"DSC 20 HW02 Q1(45m), Q2(26m), Q3(39), Q4(33), DSC 20 HW02 Debug with Tutor (20m), BILD 1 Note (20m), Math 20C Note (30m), Photography (90m) "
1/21/23,OVT,Happy New Year,"BJJ Note (30m), Zylab Q1(27m), Q2(15m), Q3(10m), Q4(10m),  Q5(15m), DSC 20 HW02 Q5.1 (5m), Q5.2(10m), Q5.3(2m), Q5.1 improve (5m), Linear Algebra small review (23m)"
1/22/23,RM/MD,N/A,"DSC 20 HW02 Q6 (15m), Q7 (45m), Q8 (60m), DSC 20 HW02 Note, BILD 1 90% Quiz and Revision (90m), end of craving reading and analysis (90m), DSC 20 Zybook readings (60m)"
1/23/23,OVT,N/A,"Cogs 87 Reading, End of craving understanding, Math 20C Notes, DSC 20 Study Notes, DSC 20 Lab02 Q1.1, Q1.2, Q2.1 (30m), Math 20C Lecture + Notes, BILD22 Note, BILD1 Midterm Review (20m), DSC 20 Zybook Reading 2 (15m) "
1/24/23,OVT/RM,N/A," Cogs 87 Reading (40m), DSC 20 Lab03 Q2.2, Q2.3, Q3, Q4, Q5 (55m),  Letter to Yuer and Picture selection (120m), Cogs 87 Note (25m), DSC 20 Lab03 code fix, physiology learn (30m), BILD 1 Midterm 1 Cheatsheet (20m)"
1/25/23,OVT,N/A,"DSC 20 Lab03 Q6.1, Q6.2, Q6.3 (20m), BILD 1 Mock exam 1 (20m), Math 20c lecture (60m),  Math 20C HW03 (60m), "
1/26/23,OVT,List comprehension is hard,"DSC 20 HW03 Q1.1, 1.2, 1.3 (90m), Cogs 9 discussion and note (120m), future research (50m), DSC 20 HW03 Bug Fix (10m), Math 20C lecture + Math 20C HW03 5 Questions (60+30m), BILD 22 Quiz (10m),  DSC 20 Lambda Function (20m), Math 20C Note (10m) "
1/27/23,OVT,Cognitive Depletion: interesting,"Cogs 87 reading 1 and reading 2 (60m), DSC 20 HW03 Q2, Q3, Q4 Start (90m),  DSC 20 Debug (30m), DOC 2 Portfolio 2 (45m), DSC 20 Debug (60m), BILD 1 Journal 6 + W3 Quiz (10m), BILD 1 Lecture Note (10m), Photo Selection (60m), DSC 20 Debug (30m)"
1/28/23,Einstein Bagel,N/A,"DOC 2 Portfolio 2 Part 2 (30m) efficient work, DSC 20 HW03 Q5.1, Q5..2 - really understanidng list comprehension (200m), Math 20C Review (90m) "
1/29/23,OVT,IPad with keyboard is super helpful/online search is helpful,"Reading End of Craving (63m), DSC 20 Reading + Reading Quiz (27m), DSC 20 HW03 Q5.2 (97m),  DSC 20 HW03 Bug Fix Q4 (7m), End of Craving reading and notes (82m), Math 20C CheatSheet (108m), Book read and analysis (60m), End of Craving analysis (60m)"
1/30/23,OVT,N/A,"End of Craving reading and notes (60m), Math 20C Notes (45m), end of craving conclusion and understanding (60m), Math 20C Mock Exam (60m)"
1/31/23,OVT,N/A,"Metacognition Program (37m), Math20C Midterm Review (60m), DSC20 Lab03 Q1 (30m), DSC 20 Lab03 Q2, Q3 (60m), metacognition project (30m), the end of craving reading and understanding (115m), Math 20C Test Review (30m), Nutrititive Talk (90m)"
2/1/23,OVT,N/A,"End of Craving Reading and Analyzing (60m), BILD 1 Notes, DOC 2 Portfolio 2 Writing (50m), Math 20C HW04 60% (100m), Yuer Talk (120m), BILD 22 Note (20m), nutrition (10m) "
